,Передвиборна програма,ПІБ,Основні відомості,Округ,Наявність(відсутність) заборгованості зі сплати аліментів,Дата та підстава скасування реєстрації кандидата,Дата реєстрації кандидатом,Висування,Область
2863,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21652pd410f01=27.doc,Селівон Олександр Олександрович,"народився 28 сiчня 1987 року в селі Карпилівка Козелецького району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, старший слідчий, Чернігівський відділ поліції ГУНП в Чернігівській області, безпартійний, проживає в місті Чернігові, судимість відсутня, самовисування.",207,-, ,24.06.2019,Самовисування,Чернігівська область
2864,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19071pd410f01=27.doc,Селянський Володимир Миколайович,"народився 22 квiтня 1973 року в смт Понорниця Коропського району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта професійно-технічна, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в смт Понорниця Коропського району Чернігівської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",207,-, ,24.06.2019,"політична партія Всеукраїнське об’єднання ""Батьківщина""",Чернігівська область
2865,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17168pd410f01=27.doc,Сергієнко Сергій Федорович,"народився 6 грудня 1967 року в місті Новгород-Сіверський Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор з маркетингу, ТОВ ""Стандарт"", безпартійний, проживає в місті Новгород-Сіверський Чернігівської області, судимість відсутня, самовисування.",207,-, ,20.06.2019,Самовисування,Чернігівська область
2866,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17357pd410f01=27.doc,Солодаренко Роман Васильович,"народився 26 сiчня 1984 року в селі Киріївка Сосницького району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в селі Кудрівка Сосницького району Чернігівської області, судимість відсутня, самовисування.",207,-, ,21.06.2019,Самовисування,Чернігівська область
2867,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15844pd410f01=27.doc,Ярова Алла Артурівна,"народилася 9 жовтня 1967 року в місті Ленінськ, Казахстан, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, голова правління, АТ ""Чернігівгаз"", безпартійнa, проживає в селі Комань Новгород-Сіверського району Чернігівської області, судимість відсутня, самовисування.",207,-, ,17.06.2019,Самовисування,Чернігівська область
2868,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19091pd410f01=27.doc,Бровченко Костянтин Михайлович,"народився 6 квiтня 1986 року в місті Мала Виска Маловисківського району Кіровоградської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",208,-, ,24.06.2019,"політична партія Всеукраїнське об’єднання ""Батьківщина""",Чернігівська область
2869,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21485pd410f01=27.doc,Веремієнко Оксана Віталіївна,"народилася 27 квiтня 1982 року в місті Борзна Чернігівської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, економіст, Борзнянська райспоживспілка, член Політичної партії ""ОПОЗИЦІЙНИЙ БЛОК"", проживає в місті Борзна Борзнянського району Чернігівської області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",208,-, ,25.06.2019,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",Чернігівська область
2870,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17604pd410f01=27.doc,Гаврутенко Олександр Анатолійович,"народився 12 жовтня 1979 року в місті Бахмач Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор з розвитку, ТОВ ""Профіт Медіа Груп"", безпартійний, проживає в місті Бахмач Бахмацького району Чернігівської області, судимість відсутня, самовисування.",208,-, ,21.06.2019,Самовисування,Чернігівська область
2871,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17321pd410f01=27.doc,Гайдукевич Валерій Володимирович,"народився 22 вересня 1970 року в місті Ірпінь Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, завідувач складу, ПП ""Менський Аграрник"", безпартійний, проживає в місті Мена Менського району Чернігівської області, судимість відсутня, самовисування.",208,-, ,21.06.2019,Самовисування,Чернігівська область
2872,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17319pd410f01=27.doc,Давиденко Валерій Миколайович,"народився 16 березня 1973 року в місті Носівка Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Носівка Носівського району Чернігівської області, судимість відсутня, самовисування.",208,-, ,21.06.2019,Самовисування,Чернігівська область
2873,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21048pd410f01=27.doc,Панченко Антон Олександрович,"народився 5 вересня 1995 року в місті Чернігові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник, ТОВ ""ОКТЯБРЬ 17"", безпартійний, проживає в місті Чернігові, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",208,-, ,25.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Чернігівська область
2874,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21686pd410f01=27.doc,Потеруха Валентин Олександрович,"народився 23 травня 1994 року в місті Бахмач Бахмацького району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, студент, Чернігівський національний технологічний університет, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Бахмач Бахмацького району Чернігівської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",208,-, ,25.06.2019,"політична партія Всеукраїнське об’єднання ""Свобода""",Чернігівська область
2875,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18406pd410f01=27.doc,Примаков Геннадій Анатолійович,"народився 8 лютого 1976 року в місті Бахмач Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Менський міський голова, член ПОЛІТИЧНОЇ ПАРТІЇ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА"", проживає в місті Мена Менського району Чернігівської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА"".",208,-, ,24.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",Чернігівська область
2876,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16417pd410f01=27.doc,Савченко Олександр Валерійович,"народився 30 жовтня 1983 року в селі Курінь Бахмацького району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, фізична особа – підприємець, безпартійний, проживає в місті Бахмач Бахмацького району Чернігівської області, судимість відсутня, самовисування.",208,-, ,18.06.2019,Самовисування,Чернігівська область
2877,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19432pd410f01=27.doc,Ткаченко Віктор Іванович,"народився 17 червня 1963 року в селі Кропивне Бахмацького району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, громадська організація ""Спілка підприємців ""Нова економічна політика"", член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Бахмач Бахмацького району Чернігівської області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",208,-, ,24.06.2019,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Чернігівська область
2878,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16433pd410f01=27.doc,Усенко Анатолій Анатолійович,"народився 13 серпня 1986 року в місті Бахмач Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, ТОВ ""Комерційний центр ""Афіто"", безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – Політична Партія ""ГОЛОС"".",208,-, ,19.06.2019,"Політична Партія ""ГОЛОС""",Чернігівська область
2879,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17643pd410f01=27.doc,Болоховець Юрій Віталійович,"народився 18 грудня 1982 року в селі Івангород Ічнянського району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ДП ""Ніжинське лісове господарство"", член Аграрної партії України, проживає в селі Івангород Ічнянського району Чернігівської області, судимість відсутня, суб’єкт висування – Аграрна партія України.",209,-, ,23.06.2019,Аграрна партія України,Чернігівська область
2880,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21671pd410f01=27.doc,Брюховецький Володимир Борисович,"народився 27 лютого 1984 року в місті Носівка Носівського району Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, Бахмацьке комунально-виробниче підприємство, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Бахмач Бахмацького району Чернігівської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",209,-, ,25.06.2019,"політична партія Всеукраїнське об’єднання ""Свобода""",Чернігівська область
2881,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18714pd410f01=27.doc,Бузун Олег Віталійович,"народився 31 липня 1970 року в місті Бахмач Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Ніжинська районна рада, член ПОЛІТИЧНОЇ ПАРТІЇ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА"", проживає в місті Ніжин Чернігівської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА"".",209,-, ,24.06.2019,"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",Чернігівська область
