deputat,partia,perc_for,votes_for,tvo,oblast,year
Крачун Сергій Володимирович , самовисування,0.43,355,№4,Автономна Республіка Крим,2012
Гриб Анатолій Миколайович ," Політична партія ""НОВА ПОЛІТИКА""",0.3,255,№4,Автономна Республіка Крим,2012
Дмитрієв Павло Олександрович ," Політична партія ""Народна ініціатива""",0.3,253,№4,Автономна Республіка Крим,2012
Пудов Петро Петрович , Українська морська партія,0.3,250,№4,Автономна Республіка Крим,2012
Павлів Ігор Володимирович ," Політична партія ""Права воля України""",0.29,243,№4,Автономна Республіка Крим,2012
Матящук Володимир Петрович ," Політична партія ""Держава""",0.24,200,№4,Автономна Республіка Крим,2012
Нірський Олександр Михайлович ," Партія ""Об’єднані ліві і селяни""",0.21,174,№4,Автономна Республіка Крим,2012
Лютікова Валентина Іванівна , Партія регіонів,41.81,27551,№5,Автономна Республіка Крим,2012
Желтенко Іван Миколайович , Комуністична партія України,19.74,13011,№5,Автономна Республіка Крим,2012
Сагайдак Ілля Вадимович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",14.52,9566,№5,Автономна Республіка Крим,2012
Стебловський Микола Михайлович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",6.1,4023,№5,Автономна Республіка Крим,2012
Назаров Юнус Турдалієвич , самовисування,4.18,2755,№5,Автономна Республіка Крим,2012
Халік Мирослав Олександрович , самовисування,1.88,1241,№5,Автономна Республіка Крим,2012
Луцик Олександр Петрович ," Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""",1.58,1045,№5,Автономна Республіка Крим,2012
Горожанкіна Валерія Валеріївна ," Політична партія ""Зелені""",1.5,994,№5,Автономна Республіка Крим,2012
Максименко Євген Володимирович , самовисування,1.4,928,№5,Автономна Республіка Крим,2012
Савченко Ігор Анатолійович , Партія Зелених України,1.16,767,№5,Автономна Республіка Крим,2012
Кулганик Олександр Анатолійович ," Українська партія ""Зелена планета""",1.14,754,№5,Автономна Республіка Крим,2012
Хижняков Володимир Федорович , Молодіжна партія України,1.13,749,№5,Автономна Республіка Крим,2012
Гамма Сергій Михайлович ," Партія ""Об’єднані ліві і селяни""",0.99,653,№5,Автономна Республіка Крим,2012
Турченко Анатолій Анатолійович , Народна Партія,0.8,532,№5,Автономна Республіка Крим,2012
Муравленко Павло Борисович ," Політична партія ""Народна ініціатива""",0.6,400,№5,Автономна Республіка Крим,2012
Лобарев Сергій Вікторович , Українська морська партія,0.57,376,№5,Автономна Республіка Крим,2012
Подорожний Микола Олександрович ," Партія ""Віче""",0.54,358,№5,Автономна Республіка Крим,2012
