deputat,partia,perc_for,votes_for,tvo,oblast,year
Сичова Олена Іванівна ," Політична партія ""Народно-трудовий союз України""",0.95,779,№112,Луганська область,2012
Клименко Дмитро Володимирович , самовисування,0.68,557,№112,Луганська область,2012
Біленький Олександр Юрійович , самовисування,0.58,479,№112,Луганська область,2012
Тихонов Віктор Миколайович , Партія регіонів,60.18,53643,№113,Луганська область,2012
Юник Володимир Йосипович , Комуністична партія України,20.19,18001,№113,Луганська область,2012
Слєпцов Микола Миколайович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",7.24,6460,№113,Луганська область,2012
Шакун Сергій Вікторович , Радикальна Партія Олега Ляшка,5.41,4826,№113,Луганська область,2012
Ковшов Михайло Геннадійович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",4.09,3650,№113,Луганська область,2012
Мілейко Володимир Володимирович , Соціалістична партія України,1.56,1399,№113,Луганська область,2012
Холопов Олександр Володимирович ," Партія Наталії Королевської ""Україна – Вперед!""",1.28,1147,№113,Луганська область,2012
Демішкан Володимир Федорович , Партія регіонів,64.87,63065,№114,Луганська область,2012
Сивоконь Тетяна Семенівна , Комуністична партія України,15.12,14699,№114,Луганська область,2012
Запорожець Іван Іванович , самовисування,6.35,6181,№114,Луганська область,2012
Кравченко Ольга Ігнатівна ," політична партія Всеукраїнське об’єднання ""Батьківщина""",5.05,4912,№114,Луганська область,2012
Ільїнова Лідія Рефатівна ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",3.02,2941,№114,Луганська область,2012
Черенков Олександр Павлович , самовисування,2.41,2343,№114,Луганська область,2012
Чудовський Андрій Ігорович , Радикальна Партія Олега Ляшка,1.65,1606,№114,Луганська область,2012
Штомпель Віталій Олександрович ," Партія Наталії Королевської ""Україна – Вперед!""",1.5,1467,№114,Луганська область,2012
Хміль Михайло Михайлович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",43.09,47057,№115,Львівська область,2012
Добродомов Дмитро Євгенович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",31.63,34537,№115,Львівська область,2012
Федишин Роман Степанович , Аграрна партія України,11.33,12375,№115,Львівська область,2012
Туісов Олександр Володимирович , Партія регіонів,3.79,4143,№115,Львівська область,2012
Желада Олександр Федорович , Комуністична партія України,2.06,2257,№115,Львівська область,2012
Новоженець Ростислав Павлович , самовисування,1.56,1713,№115,Львівська область,2012
Путас Юрій Володимирович ," Політична партія ""Духовна Україна""",1.56,1711,№115,Львівська область,2012
Яковець Оксана Степанівна , самовисування,1.03,1125,№115,Львівська область,2012
Костюк Петро Іванович , самовисування,0.82,897,№115,Львівська область,2012
Гринчук Роман Зіновійович , самовисування,0.67,735,№115,Львівська область,2012
Козицький Андрій Богданович ," Партія Наталії Королевської ""Україна – Вперед!""",0.45,496,№115,Львівська область,2012
Задорожний Іван Іванович , самовисування,0.45,492,№115,Львівська область,2012
Козинець Світлана Анатоліївна , Українська Національна Консервативна партія,0.42,462,№115,Львівська область,2012
Гладиш Ігор Дмитрович , самовисування,0.4,441,№115,Львівська область,2012
Вуй Юрій Ярославович , самовисування,0.39,436,№115,Львівська область,2012
Чупило Олег Володимирович , Християнсько-демократична партія України,0.28,306,№115,Львівська область,2012
Фаріон Ірина Дмитрівна ," політична партія Всеукраїнське об’єднання ""Свобода""",68.02,77631,№116,Львівська область,2012
Березюк Андрій Тарасович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",16.86,19251,№116,Львівська область,2012
Хруставчук Богдан Іванович , Партія регіонів,4.46,5093,№116,Львівська область,2012
Садовий Василь Степанович , самовисування,3.98,4553,№116,Львівська область,2012
Нєкрасов Ігор Євгенович , Комуністична партія України,2.86,3269,№116,Львівська область,2012
Середа Степан Васильович ," Політична партія Українська платформа ""СОБОР""",1.55,1769,№116,Львівська область,2012
Герчук Ігор Володимирович ," Партія Наталії Королевської ""Україна – Вперед!""",1.19,1364,№116,Львівська область,2012
Багай Ярослав Романович , самовисування,0.52,600,№116,Львівська область,2012
Купінець Богдан Іванович , Народна Партія,0.52,594,№116,Львівська область,2012
Васюник Ігор Васильович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",27.34,30085,№117,Львівська область,2012
Стецьків Тарас Степанович , самовисування,24.38,26834,№117,Львівська область,2012
Юринець Оксана Василівна ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",17.92,19725,№117,Львівська область,2012
Баран Олег Володимирович , Партія регіонів,12.53,13788,№117,Львівська область,2012
Ткаченко Юрій Миколайович , Комуністична партія України,4.22,4652,№117,Львівська область,2012
Соскін Олег Ігорович , Українська Національна Консервативна партія,3.34,3684,№117,Львівська область,2012
Садовий Віталій Степанович , самовисування,2.47,2727,№117,Львівська область,2012
Василишин Іван Йосипович , політична партія Конгрес Українських Націоналістів,2.24,2467,№117,Львівська область,2012
Данилків Мирослав Іванович ," політична партія ""Наша Україна""",1.61,1773,№117,Львівська область,2012
Волошина Оксана Петрівна ," Партія Наталії Королевської ""Україна – Вперед!""",1.02,1130,№117,Львівська область,2012
Куспись Світлана Анатоліївна , самовисування,0.94,1042,№117,Львівська область,2012
Оксенчук Надія Володимирівна ," Політична партія ""НОВА ПОЛІТИКА""",0.93,1024,№117,Львівська область,2012
Войцеховський Олег Ігорович , самовисування,0.44,490,№117,Львівська область,2012
Бебик Валерій Михайлович , самовисування,0.4,441,№117,Львівська область,2012
Лінський Микола Васильович , самовисування,0.15,170,№117,Львівська область,2012
Михальчишин Юрій Адріянович ," політична партія Всеукраїнське об’єднання ""Свобода""",57.21,66108,№118,Львівська область,2012
Дубневич Богдан Васильович , самовисування,28.35,32766,№118,Львівська область,2012
Мандзюк Тарас Ігорович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",8.24,9529,№118,Львівська область,2012
Загорський Володимир Степанович , Партія регіонів,2.19,2532,№118,Львівська область,2012
Василько Ростислав Степанович , Комуністична партія України,1.29,1499,№118,Львівська область,2012
Пущак Микола Зіновійович ," Партія Наталії Королевської ""Україна – Вперед!""",0.64,740,№118,Львівська область,2012
Будулич Андрій Володимирович , самовисування,0.5,589,№118,Львівська область,2012
Великач Зеновій Мирославович , самовисування,0.49,576,№118,Львівська область,2012
Свелеба Ярослав Богданович , політична партія Українська Національна Асамблея,0.39,459,№118,Львівська область,2012
Снєгирьов Дмитро Васильович , самовисування,0.35,412,№118,Львівська область,2012
Іщук Андрій Богданович , Народна Партія,0.28,332,№118,Львівська область,2012
Сех Ірина Ігорівна ," політична партія Всеукраїнське об’єднання ""Свобода""",64.86,67784,№119,Львівська область,2012
Сенчук Сергій Степанович , самовисування,10.68,11168,№119,Львівська область,2012
Щепанкевич Іван Станіславович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",6.9,7216,№119,Львівська область,2012
Коб’ялковський Михайло Степанович , Партія регіонів,4.82,5039,№119,Львівська область,2012
Кожан Володимир Дмитрович , самовисування,4.09,4279,№119,Львівська область,2012
Андрущенко Андрій Олександрович , самовисування,3.12,3265,№119,Львівська область,2012
Яремків Ольга Михайлівна ," політична партія ""Наша Україна""",1.71,1794,№119,Львівська область,2012
Стецик Юрій Михайлович , Комуністична партія України,1.17,1229,№119,Львівська область,2012
Шульба Михайло Степанович , самовисування,1.05,1104,№119,Львівська область,2012
Матвієнко Ігор Володимирович , Народна Партія,0.69,730,№119,Львівська область,2012
Туркевич Леся Йосипівна ," Українська партія ""Зелена планета""",0.51,537,№119,Львівська область,2012
Тлємішок Наталія Олександрівна , самовисування,0.34,360,№119,Львівська область,2012
Дубневич Ярослав Васильович , самовисування,47.04,50330,№120,Львівська область,2012
Чорновол Тетяна Миколаївна ," політична партія Всеукраїнське об’єднання ""Батьківщина""",38.88,41605,№120,Львівська область,2012
Тиндик Андрій Богданович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",4.71,5045,№120,Львівська область,2012
Куп’як Іван Петрович , політична партія Конгрес Українських Націоналістів,2.95,3162,№120,Львівська область,2012
Білак Іван Іванович , Партія регіонів,2.84,3042,№120,Львівська область,2012
Денькович Іван Васильович , самовисування,2.31,2477,№120,Львівська область,2012
Галамай Йосиф Іванович , Народна Партія,0.54,586,№120,Львівська область,2012
Алексюк Леонід Михайлович , Комуністична партія України,0.36,389,№120,Львівська область,2012
Петришин Андрій Михайлович ," Партія ""Громадянська солідарність""",0.32,353,№120,Львівська область,2012
Ілик Роман Романович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",49.11,54641,№121,Львівська область,2012
Барнацький Павло Степанович , самовисування,9.65,10744,№121,Львівська область,2012
Курус Ігор Федорович , самовисування,7.11,7913,№121,Львівська область,2012
Задорожний Михайло Леонович , самовисування,6.57,7313,№121,Львівська область,2012
Гук Микола Петрович , самовисування,4.44,4947,№121,Львівська область,2012
Конц Віктор Ярославович , самовисування,3.91,4358,№121,Львівська область,2012
Лагодич Микола Миколайович , самовисування,3.54,3944,№121,Львівська область,2012
Возняк Віктор Франкович , самовисування,2.96,3302,№121,Львівська область,2012
Янковський Михайло Петрович , Партія регіонів,2.9,3227,№121,Львівська область,2012
Зубицька Наталія Петрівна ," Українська партія ""Зелена планета""",1.62,1806,№121,Львівська область,2012
Курчик Тарас Михайлович , самовисування,1.51,1680,№121,Львівська область,2012
Задорожний Іван Маркович , самовисування,1.23,1370,№121,Львівська область,2012
Гентош Тарас Йосифович , політична партія Конгрес Українських Націоналістів,1.1,1227,№121,Львівська область,2012
Сендак Михайло Дмитрович , самовисування,1.06,1187,№121,Львівська область,2012
Одрехівський Микола Васильович , самовисування,0.96,1079,№121,Львівська область,2012
Старовойтова Валентина Михайлівна , Комуністична партія України,0.79,880,№121,Львівська область,2012
Тустановський Микола Миронович ," Політична партія Українська платформа ""СОБОР""",0.62,698,№121,Львівська область,2012
Грабовський Святослав Мирославович , Українська Національна Консервативна партія,0.45,509,№121,Львівська область,2012
Трощановський Костянтин Анатолійович , самовисування,0.2,230,№121,Львівська область,2012
Соколов Віктор Михайлович , Народно-демократична партія,0.17,195,№121,Львівська область,2012
Пазиняк Василь Степанович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",55.86,66195,№122,Львівська область,2012
Козак Тарас Романович , самовисування,36.54,43305,№122,Львівська область,2012
Савуляк Сергій Маркіянович , самовисування,2.24,2664,№122,Львівська область,2012
Бабій Григорій Ярославович , самовисування,1.05,1253,№122,Львівська область,2012
Босий Володимир Ігорович , Партія регіонів,0.83,989,№122,Львівська область,2012
Сміщук Сергій Леонідович ," політична партія ""Наша Україна""",0.7,837,№122,Львівська область,2012
Жук Ганна Михайлівна , Народна Партія,0.59,702,№122,Львівська область,2012
Якимович Богдан Зіновійович , самовисування,0.44,530,№122,Львівська область,2012
Гаршин Віктор Миколайович , Комуністична партія України,0.42,508,№122,Львівська область,2012
Глова Ігор Григорович , самовисування,0.38,457,№122,Львівська область,2012
Франко Степан Михайлович , самовисування,0.34,413,№122,Львівська область,2012
Величко Роман Андрійович , Українська Національна Консервативна партія,0.3,364,№122,Львівська область,2012
Басараба Петро Дмитрович , Соціалістична партія України,0.23,273,№122,Львівська область,2012
Котеляк Лідія Леонідівна ," політична партія Всеукраїнське об’єднання ""Батьківщина""",30.12,31322,№123,Львівська область,2012
Батенко Тарас Іванович , самовисування,23.52,24455,№123,Львівська область,2012
Шкляр Василь Миколайович ," Політична партія Українська платформа ""СОБОР""",21.39,22242,№123,Львівська область,2012
Сірків Михайло Миколайович , самовисування,12.49,12992,№123,Львівська область,2012
Федорів Лариса Йосипівна ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",4.97,5169,№123,Львівська область,2012
Оприско Микола Васильович , самовисування,1.95,2034,№123,Львівська область,2012
Дубик Ігор Іванович , Партія регіонів,1.49,1556,№123,Львівська область,2012
Петришин Петро Васильович , Соціалістична партія України,1.21,1267,№123,Львівська область,2012
Канака Остап Тарасович , самовисування,0.97,1018,№123,Львівська область,2012
Свистович Ігор Михайлович ," Партія Наталії Королевської ""Україна – Вперед!""",0.85,892,№123,Львівська область,2012
Бродецький Анатолій Миколайович , Комуністична партія України,0.57,596,№123,Львівська область,2012
Заваруєв Анатолій Михайлович , самовисування,0.4,422,№123,Львівська область,2012
Курпіль Степан Володимирович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",61.73,60764,№124,Львівська область,2012
Криштопа Микола Григорович , самовисування,21.7,21361,№124,Львівська область,2012
Дідусь Роман Іванович , політична партія Конгрес Українських Націоналістів,6.0,5906,№124,Львівська область,2012
Осміловський Денис Васильович , самовисування,3.52,3472,№124,Львівська область,2012
Заболотній Анатолій Григорович , Партія регіонів,2.73,2689,№124,Львівська область,2012
Вавриньчук Алла Дмитрівна , Комуністична партія України,1.41,1395,№124,Львівська область,2012
Абаімов Василь Петрович , Українська Національна Консервативна партія,1.03,1017,№124,Львівська область,2012
Кравченко Ярослав Валентинович , політична партія Українська Національна Асамблея,1.0,989,№124,Львівська область,2012
Лешик Володимир Іванович , самовисування,0.84,835,№124,Львівська область,2012
Тягнибок Андрій Ярославович ," політична партія Всеукраїнське об’єднання ""Свобода""",35.61,37968,№125,Львівська область,2012
Лопушанський Андрій Ярославович , політична партія Конгрес Українських Націоналістів,27.56,29384,№125,Львівська область,2012
Пукшин Ігор Гелярович , самовисування,19.74,21055,№125,Львівська область,2012
Гичка Михайло Михайлович , самовисування,11.57,12337,№125,Львівська область,2012
Шикітка Дмитро Миронович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",1.98,2121,№125,Львівська область,2012
Щекун Василь Йосипович , Партія регіонів,1.33,1428,№125,Львівська область,2012
Семкович Степан Миронович , самовисування,0.61,655,№125,Львівська область,2012
Мельник Олена Остапівна , Комуністична партія України,0.44,475,№125,Львівська область,2012
Балишин Михайло Петрович , Народна Партія,0.35,381,№125,Львівська область,2012
Копач Ігор Дмитрович , самовисування,0.24,263,№125,Львівська область,2012
Ропецький Володимир Адамович , самовисування,0.19,209,№125,Львівська область,2012
Босак Володимир Зіновійович ," Українська партія ""Зелена планета""",0.17,189,№125,Львівська область,2012
Завійський Роман Богданович , самовисування,0.13,148,№125,Львівська область,2012
Канівець Олег Леонідович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",41.2,43000,№126,Львівська область,2012
Кіт Андрій Богданович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",25.04,26139,№126,Львівська область,2012
Тенюх Ігор Йосифович , самовисування,21.49,22435,№126,Львівська область,2012
Канівець Сергій Миколайович , самовисування,4.19,4377,№126,Львівська область,2012
Осташ Ігор Іванович , самовисування,3.15,3295,№126,Львівська область,2012
Загородний Василь Іванович , Партія регіонів,2.0,2094,№126,Львівська область,2012
Сидоренко Олександр Нестерович , Комуністична партія України,0.95,992,№126,Львівська область,2012
Семенюк Анна Богданівна ," політична партія ""Наша Україна""",0.78,823,№126,Львівська область,2012
Михайлишин Петро Степанович , самовисування,0.7,732,№126,Львівська область,2012
Гурський Володимир Сергійович ," Українська партія ""Зелена планета""",0.23,248,№126,Львівська область,2012
Рябошапко Василь Іванович ," Політична партія ""НОВА ПОЛІТИКА""",0.12,127,№126,Львівська область,2012
Муряш Андрій Богданович , Народна Партія,0.09,100,№126,Львівська область,2012
Наконечний Володимир Леонтієвич , Партія регіонів,45.77,35177,№127,Миколаївська область,2012
Матвєєв Володимир Йосипович , Комуністична партія України,15.72,12085,№127,Миколаївська область,2012
Шевченко Євген Валерійович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",9.08,6980,№127,Миколаївська область,2012
Задирко Геннадій Олександрович , самовисування,8.49,6525,№127,Миколаївська область,2012
Юрлов Павло Олегович ," політична партія Всеукраїнське об’єднання ""Свобода""",7.4,5691,№127,Миколаївська область,2012
Тимошин Володимир Володимирович ," Партія Наталії Королевської ""Україна – Вперед!""",5.86,4503,№127,Миколаївська область,2012
Іванов Володимир Володимирович , самовисування,4.81,3700,№127,Миколаївська область,2012
Гарматюк Сергій Васильович ," Політична партія ""Вітчизна""",1.71,1320,№127,Миколаївська область,2012
Яремич Андрій Леонідович , самовисування,0.62,484,№127,Миколаївська область,2012
Плужніков Михайло Броніславович , політична партія Єдиний Центр,0.49,378,№127,Миколаївська область,2012
Ільюк Артем Олександрович , Партія регіонів,37.96,31340,№128,Миколаївська область,2012
Ісаков Сергій Михайлович , самовисування,22.58,18645,№128,Миколаївська область,2012
Мудрак Олег Іванович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",12.69,10483,№128,Миколаївська область,2012
Пучков Сергій Євгенійович , Комуністична партія України,10.39,8584,№128,Миколаївська область,2012
Макар’ян Давид Борисович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",7.5,6198,№128,Миколаївська область,2012
Паливода Сергій Миколайович , самовисування,2.72,2246,№128,Миколаївська область,2012
Виноградський Максим Павлович ," Партія Наталії Королевської ""Україна – Вперед!""",1.42,1180,№128,Миколаївська область,2012
Найда Олег Володимирович , самовисування,1.3,1074,№128,Миколаївська область,2012
Бондаренко Євгенія Сергіївна ," Партія ""Руський блок""",1.11,924,№128,Миколаївська область,2012
Волошин Юрій Миколайович ," ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНА МАЙБУТНЬОГО""",1.02,850,№128,Миколаївська область,2012
Данилевська Надія Леонідівна , самовисування,0.69,571,№128,Миколаївська область,2012
Іовенко Катерина Вікторівна , самовисування,0.55,457,№128,Миколаївська область,2012
Жук Микола Васильович , Партія регіонів,48.04,34120,№129,Миколаївська область,2012
Жолобецький Олександр Олександрович , самовисування,28.03,19907,№129,Миколаївська область,2012
Воронцов Михайло Юрійович , Комуністична партія України,12.71,9029,№129,Миколаївська область,2012
Хобта Лариса Юріївна , самовисування,3.67,2609,№129,Миколаївська область,2012
Мірошниченко Олексій Володимирович , Українська Народна Партія,3.38,2405,№129,Миколаївська область,2012
Сторчеус Віктор Олександрович ," ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНА МАЙБУТНЬОГО""",2.15,1531,№129,Миколаївська область,2012
Влащенко Олександр Володимирович ," Партія ""Руський блок""",1.99,1414,№129,Миколаївська область,2012
Бриченко Ігор Віталійович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",42.23,31826,№130,Миколаївська область,2012
Ольшевський Фелікс Вікторович , Партія регіонів,38.0,28637,№130,Миколаївська область,2012
Скорий Микола Вікторович , Комуністична партія України,15.28,11520,№130,Миколаївська область,2012
Орєхова Олена Володимирівна ," Політична партія ""Справедлива Україна""",2.57,1944,№130,Миколаївська область,2012
Чорноморець Сергій Григорович ," Партія ""Союз""",1.89,1428,№130,Миколаївська область,2012
Гержов Юрій Іванович , Партія регіонів,44.21,35117,№131,Миколаївська область,2012
Телятник Юрій Васильович , Комуністична партія України,14.0,11124,№131,Миколаївська область,2012
Стулін Андрій Миколайович , самовисування,13.71,10891,№131,Миколаївська область,2012
Чупрін Сергій Анатолійович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",9.51,7559,№131,Миколаївська область,2012
Власюк Віктор Дмитрович ," Партія Наталії Королевської ""Україна – Вперед!""",8.8,6992,№131,Миколаївська область,2012
Шелех Петро Валентинович , самовисування,5.51,4383,№131,Миколаївська область,2012
Іванченко Василь Миколайович , самовисування,3.07,2439,№131,Миколаївська область,2012
Печерський Володимир Анатолійович ," Політична партія ""Справедлива Україна""",1.16,924,№131,Миколаївська область,2012
Травянко Віталій Іванович , Партія регіонів,39.97,29910,№132,Миколаївська область,2012
Корнацький Аркадій Олексійович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",39.66,29678,№132,Миколаївська область,2012
Козловський Анатолій Михайлович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",7.48,5599,№132,Миколаївська область,2012
Романюк Анатолій Сергійович , Комуністична партія України,6.15,4608,№132,Миколаївська область,2012
Толубко Володимир Борисович , самовисування,4.19,3141,№132,Миколаївська область,2012
Пєшехонов Анатолій Анатолійович , самовисування,1.47,1107,№132,Миколаївська область,2012
Терьохін Сергій Євгенович , самовисування,1.03,777,№132,Миколаївська область,2012
Марков Ігор Олегович , самовисування,26.6,22349,№133,Одеська область,2012
Гончаренко Олексій Олексійович , Партія регіонів,20.46,17189,№133,Одеська область,2012
Остапенко Олександр Анатолійович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",14.35,12057,№133,Одеська область,2012
Сафін Ігор Вікторович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",10.77,9055,№133,Одеська область,2012
Преснов Юрій Олександрович , самовисування,9.15,7694,№133,Одеська область,2012
Чорний Вадим Львович , самовисування,8.63,7258,№133,Одеська область,2012
Барда Ростислав Миколайович , Комуністична партія України,4.83,4065,№133,Одеська область,2012
Семенюк Юрій Євгенович , самовисування,0.62,529,№133,Одеська область,2012
Петров Володимир Володимирович , самовисування,0.62,525,№133,Одеська область,2012
Архіпова Русудан Датушаєвна ," Політична партія ""Вітчизна""",0.43,364,№133,Одеська область,2012
Моисеєва Зоя Миколаївна , самовисування,0.38,326,№133,Одеська область,2012
Чернов Дмитро Юрійович , самовисування,0.36,309,№133,Одеська область,2012
Олійник Віктор Іванович , самовисування,0.25,216,№133,Одеська область,2012
Вацюк Світлана Миколаївна , самовисування,0.24,209,№133,Одеська область,2012
Косова Валентина Юріївна , самовисування,0.24,208,№133,Одеська область,2012
Стадник Микола Вячеславович ," Політична партія ""Духовна Україна""",0.22,192,№133,Одеська область,2012
Стасюк Тетяна Дмитрівна , самовисування,0.21,182,№133,Одеська область,2012
Колесниченко Олег Володимирович , самовисування,0.21,179,№133,Одеська область,2012
Дімов Олег Петрович , самовисування,0.19,161,№133,Одеська область,2012
Мілєва Вікторія Володимирівна , самовисування,0.18,156,№133,Одеська область,2012
Маланін Олександр Юрійович , самовисування,0.17,149,№133,Одеська область,2012
Медведенко Анатолій Андрійович , самовисування,0.15,128,№133,Одеська область,2012
Рибаков Олексій Володимирович , самовисування,0.14,124,№133,Одеська область,2012
Пульча Ганна Дем’янівна , самовисування,0.13,110,№133,Одеська область,2012
Пушкар Микола Петрович , самовисування,0.09,79,№133,Одеська область,2012
Соломатін Сергій Олександрович , самовисування,0.08,75,№133,Одеська область,2012
Сахневич Сергій Йосипович , самовисування,0.08,69,№133,Одеська область,2012
Курлов Андрій Вікторович , самовисування,0.05,50,№133,Одеська область,2012
Гриневецький Сергій Рафаїлович , Народна Партія,32.03,24587,№134,Одеська область,2012
Чекіта Геннадій Леонідович , самовисування,30.86,23691,№134,Одеська область,2012
Усов Костянтин Глібович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",18.21,13981,№134,Одеська область,2012
Кисса Петро Васильович , Комуністична партія України,5.98,4597,№134,Одеська область,2012
Алайбов Віталій Васильович , самовисування,3.34,2568,№134,Одеська область,2012
Наполова Людмила Олексіївна , самовисування,2.45,1884,№134,Одеська область,2012
Матієнко Валерій Іванович , самовисування,2.17,1670,№134,Одеська область,2012
Вєтров Олександр Олександрович ," Партія Наталії Королевської ""Україна – Вперед!""",1.51,1160,№134,Одеська область,2012
Козловська Лариса Олексіївна , самовисування,0.94,723,№134,Одеська область,2012
Хайкін Євгеній Ігоревич , самовисування,0.65,505,№134,Одеська область,2012
Кухар Оксана Вячеславівна , самовисування,0.63,489,№134,Одеська область,2012
Гарагуля Петро Вікторович , самовисування,0.58,452,№134,Одеська область,2012
Каптусарова Наталя Олександрівна , самовисування,0.57,442,№134,Одеська область,2012
Ківалов Сергій Васильович , Партія регіонів,56.79,41989,№135,Одеська область,2012
Усов Володимир Володимирович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",25.04,18515,№135,Одеська область,2012
Цехович Віталій Анатолійович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",13.49,9978,№135,Одеська область,2012
Торшин Валерій Іванович , самовисування,2.94,2178,№135,Одеська область,2012
Ліознов Сергій Григорович , самовисування,1.72,1275,№135,Одеська область,2012
Труханов Геннадій Леонідович , Партія регіонів,60.91,47921,№136,Одеська область,2012
Сомов Олександр Олегович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",16.06,12640,№136,Одеська область,2012
Братчук Сергій Борисович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",8.23,6481,№136,Одеська область,2012
Вареничев Володимир Миколайович , Комуністична партія України,3.95,3109,№136,Одеська область,2012
Бовбалан Сергій Іванович , самовисування,2.84,2238,№136,Одеська область,2012
Азаров Вячеслав Валентинович ," Політична партія ""Союз анархістів України""",1.62,1277,№136,Одеська область,2012
Костенко Ольга Василівна , самовисування,1.07,847,№136,Одеська область,2012
Локайчук Валерій Федорович , самовисування,0.8,631,№136,Одеська область,2012
Акімова Ірина Валентинівна , самовисування,0.73,576,№136,Одеська область,2012
Єсенович Ірина Ігорівна , самовисування,0.47,376,№136,Одеська область,2012
Лашманов Володимир Іванович , самовисування,0.42,336,№136,Одеська область,2012
Боріна Ірина Миколаївна , самовисування,0.42,333,№136,Одеська область,2012
