deputat,partia,perc_for,votes_for,year,tvo,oblast
Гупало Юрій Володимирович , самовисування,8.25,7329,2014,№19,Волинська область
Ярема Віктор Романович , Радикальна Партія Олега Ляшка,7.38,6551,2014,№19,Волинська область
Оніщук Андрій Юрійович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",6.89,6118,2014,№19,Волинська область
Купира Зінаїда Степанівна , самовисування,2.21,1967,2014,№19,Волинська область
Буторін Олексій Олексійович , самовисування,2.01,1788,2014,№19,Волинська область
Скіпальський Олександр Олександрович , самовисування,1.79,1591,2014,№19,Волинська область
Головатий Сергій Петрович , самовисування,1.74,1546,2014,№19,Волинська область
Савюк Ганна Павлівна , Комуністична партія України,1.17,1044,2014,№19,Волинська область
Дзенік Сергій Іванович , самовисування,0.82,731,2014,№19,Волинська область
Мартиняк Сергій Васильович , самовисування,35.24,36648,2014,№20,Волинська область
Бондар Володимир Налькович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",20.53,21353,2014,№20,Волинська область
Карпюк Роман Петрович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",9.08,9444,2014,№20,Волинська область
Красуля Володимир Анатолійович , самовисування,8.57,8914,2014,№20,Волинська область
Вдовенко Володимир Васильович , самовисування,7.99,8311,2014,№20,Волинська область
Цейко Юрій Феодосійович , самовисування,7.81,8124,2014,№20,Волинська область
Федін В’ячеслав Володимирович , Радикальна Партія Олега Ляшка,5.76,5992,2014,№20,Волинська область
Воронко Ігор Васильович , самовисування,1.67,1741,2014,№20,Волинська область
Чайка Олексій Феофанович , самовисування,1.26,1315,2014,№20,Волинська область
Саєвич Володимир Михайлович , самовисування,0.85,885,2014,№20,Волинська область
Маткобожик Анатолій Андрійович , Комуністична партія України,0.8,839,2014,№20,Волинська область
Сава Віктор Вікторович ," ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ""",0.39,411,2014,№20,Волинська область
Івахів Степан Петрович , самовисування,63.49,59706,2014,№21,Волинська область
Дружинович Сергій Олександрович ," Політична партія ""Сила Людей""",14.12,13279,2014,№21,Волинська область
Гетьман Михайло Олександрович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",9.15,8605,2014,№21,Волинська область
Гавришук Олександр Михайлович , самовисування,7.25,6818,2014,№21,Волинська область
