deputat,partia,perc_for,votes_for,year,tvo,oblast
Гасимов Рустам Вусалович , самовисування,0.26,55,2014,№107,Луганська область
Лежавська Яна Геннадіївна , самовисування,0.22,47,2014,№107,Луганська область
Кураєва Катерина Анатоліївна , самовисування,0.22,46,2014,№107,Луганська область
Шульга Любов Стефанівна , самовисування,0.22,46,2014,№107,Луганська область
Кравчук Євген Святославович , самовисування,0.21,45,2014,№107,Луганська область
Бердніков Андрій Валерійович , самовисування,0.2,43,2014,№107,Луганська область
Литвин Андрій Андрійович , самовисування,0.2,43,2014,№107,Луганська область
Казаков Віктор Ларіонович , самовисування,0.2,42,2014,№107,Луганська область
Попова Марина Олександрівна , самовисування,0.2,42,2014,№107,Луганська область
Кичук Микола Миколайович , самовисування,0.19,40,2014,№107,Луганська область
Лижник Сніжана Михайлівна , самовисування,0.18,39,2014,№107,Луганська область
Мельник Ніна Миколаївна , самовисування,0.17,37,2014,№107,Луганська область
Одинока Ольга Віталіївна , самовисування,0.17,36,2014,№107,Луганська область
Немчук Павло Володимирович , самовисування,0.16,34,2014,№107,Луганська область
Шутов Володимир Сергійович , самовисування,0.12,26,2014,№107,Луганська область
Дворенков Станіслав Костянтинович , самовисування,0.12,25,2014,№107,Луганська область
Таранов Дмитро Валерійович , самовисування,0.12,25,2014,№107,Луганська область
Горенштейн Вікторія Марківна , самовисування,0.11,24,2014,№107,Луганська область
Каленюк Сергій Іванович , самовисування,0.11,24,2014,№107,Луганська область
Марусій Тетяна Вікторівна , самовисування,0.1,22,2014,№107,Луганська область
Плахоніна Вікторія Вікторівна , самовисування,0.1,22,2014,№107,Луганська область
Подкидач Тетяна Борисівна , самовисування,0.08,17,2014,№107,Луганська область
Полуботько Роман Михайлович , самовисування,0.07,15,2014,№107,Луганська область
Собчинський Євгеній Дмитрович , самовисування,0.06,13,2014,№107,Луганська область
Іоффе Юлій Якович , самовисування,48.62,7000,2014,№112,Луганська область
Романовський Олександр Олександрович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",11.49,1655,2014,№112,Луганська область
Цибуля Юрій Геннадійович , самовисування,11.16,1608,2014,№112,Луганська область
Гуславський Володимир Станіславович , самовисування,6.82,982,2014,№112,Луганська область
Філь Сергій Олександрович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",5.66,816,2014,№112,Луганська область
Козюберда Костянтин Григорійович , самовисування,5.34,769,2014,№112,Луганська область
Бабенко Дмитро Володимирович , самовисування,4.07,587,2014,№112,Луганська область
Таранов Олексій Анатолійович , Радикальна Партія Олега Ляшка,2.55,368,2014,№112,Луганська область
Ландік Володимир Іванович , самовисування,0.84,122,2014,№112,Луганська область
Морозов Геннадій Вікторович ," Партія Сергія Тігіпка ""Сильна Україна""",0.64,93,2014,№112,Луганська область
Бережной Юрій Миколайович , самовисування,0.31,46,2014,№112,Луганська область
Боченко Неля Анатоліївна , самовисування,0.25,37,2014,№112,Луганська область
Калічак Павло Васильович , самовисування,0.16,24,2014,№112,Луганська область
Чаус Тарас Романович , самовисування,0.14,21,2014,№112,Луганська область
Бандура Леся Анатоліївна , самовисування,0.13,20,2014,№112,Луганська область
Козак Євгенія Олександрівна , самовисування,0.13,19,2014,№112,Луганська область
Марухняк Мар’яна Богданівна , самовисування,0.11,17,2014,№112,Луганська область
Тасюк Микола Валерійович , самовисування,0.11,17,2014,№112,Луганська область
Голєва Ганна Юріївна , самовисування,0.1,15,2014,№112,Луганська область
Урбанська Дар’я Владиславівна , самовисування,0.1,15,2014,№112,Луганська область
Якимчук Ірина Володимирівна , самовисування,0.09,14,2014,№112,Луганська область
Курінний Кирило Анатолійович , самовисування,0.09,13,2014,№112,Луганська область
Реброва Валентина Олександрівна , самовисування,0.09,13,2014,№112,Луганська область
Кондратюк Юрій Олександрович , самовисування,0.08,12,2014,№112,Луганська область
Ярмолюк Ілона Олександрівна , самовисування,0.08,12,2014,№112,Луганська область
Томенко Роман Олександрович , самовисування,0.07,11,2014,№112,Луганська область
Попова Ольга Миколаївна , самовисування,0.06,10,2014,№112,Луганська область
Мельник Віктор Іванович , самовисування,0.06,9,2014,№112,Луганська область
Ткаченко Віталій Олександрович , самовисування,0.04,7,2014,№112,Луганська область
Хижняк Ілля Андрійович , самовисування,0.04,7,2014,№112,Луганська область
Ніколаєнко Любов Федорівна , самовисування,0.04,6,2014,№112,Луганська область
Пелішенко Кирило Олегович , самовисування,0.04,6,2014,№112,Луганська область
Пляцун Олег Володимирович , самовисування,0.04,6,2014,№112,Луганська область
Чередніченко Сергій Олегович , самовисування,0.04,6,2014,№112,Луганська область
Квашук Олександр Іванович , самовисування,0.03,5,2014,№112,Луганська область
Толстоухова Наталія Вікторівна , самовисування,0.03,5,2014,№112,Луганська область
Касак Артем Андрійович , самовисування,0.02,4,2014,№112,Луганська область
Скнарь Юрій Іванович , самовисування,0.02,4,2014,№112,Луганська область
Труш Тетяна Петрівна , самовисування,0.02,4,2014,№112,Луганська область
Малюга Михайло Сергійович , самовисування,0.02,3,2014,№112,Луганська область
Сербенюк Юрій Миколайович , самовисування,0.02,3,2014,№112,Луганська область
Черненко Валентина Анатоліївна , самовисування,0.02,3,2014,№112,Луганська область
Савкін Євген Євгенович , самовисування,0.01,2,2014,№112,Луганська область
Курило Віталій Семенович , самовисування,21.4,11206,2014,№113,Луганська область
Голенко Валерій Миколайович ," Політична партія ""Опозиційний блок""",20.51,10742,2014,№113,Луганська область
Живага Володимир Миколайович , самовисування,10.49,5497,2014,№113,Луганська область
Рибалко Євген Вікторович , Радикальна Партія Олега Ляшка,10.35,5424,2014,№113,Луганська область
Сергієнко Леонід Григорович , самовисування,9.58,5019,2014,№113,Луганська область
Радченко Ігор Олександрович , самовисування,8.21,4302,2014,№113,Луганська область
Сиротін Володимир Геннадійович , самовисування,5.15,2697,2014,№113,Луганська область
Кірічок Юрій Олександрович ," Партія Сергія Тігіпка ""Сильна Україна""",4.21,2209,2014,№113,Луганська область
Саяпін Ігор Олегович ," політична партія Всеукраїнське об’єднання ""Свобода""",3.02,1585,2014,№113,Луганська область
Снєгирьов Дмитро Васильович ," Політична партія ""НАРОДНИЙ ФРОНТ""",2.36,1241,2014,№113,Луганська область
Красносельський Дмитро Валерійович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",1.59,835,2014,№113,Луганська область
Гацько Анатолій Анатолійович , самовисування,1.36,716,2014,№113,Луганська область
Вербов Володимир Володимирович , самовисування,0.92,484,2014,№113,Луганська область
Морошан Віктор Михайлович , самовисування,0.77,406,2014,№113,Луганська область
Гарбуз Юрій Григорійович , самовисування,25.56,6580,2014,№114,Луганська область
Кочарян Тігран Рафікович ," Партія Сергія Тігіпка ""Сильна Україна""",17.87,4602,2014,№114,Луганська область
Мошенський Валерій Захарович , самовисування,15.78,4064,2014,№114,Луганська область
Костанчук Тарас Дмитрович , самовисування,12.48,3213,2014,№114,Луганська область
Філоненко Сергій Вячеславович , самовисування,9.0,2317,2014,№114,Луганська область
Черкасов Андрій Володимирович , самовисування,6.19,1595,2014,№114,Луганська область
Гапочка Микола Михайлович , самовисування,3.75,967,2014,№114,Луганська область
Біленький Олександр Юрійович , самовисування,3.45,889,2014,№114,Луганська область
Дешко Олександр Сергійович ," Політична партія ""Опозиційний блок""",1.05,272,2014,№114,Луганська область
Керичинський Ярослав Олегович , самовисування,0.74,192,2014,№114,Луганська область
Кононенко Інна Вікторівна , самовисування,0.41,108,2014,№114,Луганська область
Волошина Ніна Олександрівна , самовисування,0.34,88,2014,№114,Луганська область
Волов Сергій Сергійович , самовисування,0.32,83,2014,№114,Луганська область
Шевкун Олена Олександрівна , самовисування,0.24,63,2014,№114,Луганська область
Серпокрилов В’ячеслав Юрійович , самовисування,0.19,50,2014,№114,Луганська область
Ленда Тарас Миколайович , самовисування,0.19,49,2014,№114,Луганська область
Сета Вікторія Анатоліївна , самовисування,0.18,48,2014,№114,Луганська область
Подєйко Микола Вікторович , самовисування,0.17,45,2014,№114,Луганська область
Грішов Антон Олександрович , самовисування,0.16,43,2014,№114,Луганська область
Норенко Юлія Миколаївна , самовисування,0.15,39,2014,№114,Луганська область
Федосєєв Павло Сергійович , самовисування,0.14,38,2014,№114,Луганська область
Мельник Василь Анатолійович , самовисування,0.13,36,2014,№114,Луганська область
Зубрій Марія Миколаївна , самовисування,0.12,32,2014,№114,Луганська область
Боченко Сергій Вікторович , самовисування,0.12,31,2014,№114,Луганська область
Сергієнко Роман Сергійович , самовисування,0.11,29,2014,№114,Луганська область
Петренко Олександр Анатолійович , самовисування,0.1,27,2014,№114,Луганська область
Семенович Антон Олександрович , самовисування,0.1,27,2014,№114,Луганська область
Воробей Андрій Миколайович , самовисування,0.08,23,2014,№114,Луганська область
Кульков Максим Вікторович , самовисування,0.08,23,2014,№114,Луганська область
Лісевич Катерина Олександрівна , самовисування,0.08,21,2014,№114,Луганська область
Вискребцов Євгеній Вікторович , самовисування,0.07,19,2014,№114,Луганська область
Мачужак Наталія Олександрівна , самовисування,0.06,17,2014,№114,Луганська область
Масановець Тетяна Петрівна , самовисування,0.06,16,2014,№114,Луганська область
Павлюк Віталій Вікторович , самовисування,0.06,16,2014,№114,Луганська область
Томкус Марія Валеріївна , самовисування,0.06,16,2014,№114,Луганська область
Побєдоносцева Алла Сергіївна , самовисування,0.05,15,2014,№114,Луганська область
Хілик Дарина Олександрівна , самовисування,0.05,14,2014,№114,Луганська область
Лінський Микола Васильович , самовисування,0.04,12,2014,№114,Луганська область
Орєхов Віктор Іванович , самовисування,0.03,8,2014,№114,Луганська область
Цигенько Олег Леонідович , самовисування,0.02,7,2014,№114,Луганська область
Оболкіна Наталія Ігорівна , самовисування,0.02,6,2014,№114,Луганська область
Добродомов Дмитро Євгенович , самовисування,42.5,45936,2014,№115,Львівська область
Васюник Іван Васильович ," Політична партія ""НАРОДНИЙ ФРОНТ""",36.53,39482,2014,№115,Львівська область
Бермес Зеновій Миколайович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",4.78,5168,2014,№115,Львівська область
Ропяк Володимир Юліянович , самовисування,4.17,4512,2014,№115,Львівська область
Сорокін Андрій Юрійович ," ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ АГРАРНЕ ОБ’ЄДНАННЯ ""ЗАСТУП""",3.67,3970,2014,№115,Львівська область
Дерега Данило Ярославович ," Політична партія ""Воля""",3.05,3301,2014,№115,Львівська область
Вуй Юрій Ярославович , самовисування,1.84,1990,2014,№115,Львівська область
Філіпов Павло Костянтинович , самовисування,1.79,1944,2014,№115,Львівська область
Перепічка Євгеній Васильович , самовисування,1.63,1764,2014,№115,Львівська область
Подоляк Ірина Ігорівна ," Політична партія ""Об’єднання ""САМОПОМІЧ""",41.2,47285,2014,№116,Львівська область
Веремчук Валерій Миколайович , Радикальна Партія Олега Ляшка,17.91,20559,2014,№116,Львівська область
Фаріон Ірина Дмитрівна ," політична партія Всеукраїнське об’єднання ""Свобода""",16.35,18775,2014,№116,Львівська область
Маліновський Володимир Степанович , самовисування,6.43,7390,2014,№116,Львівська область
Оверко Володимир Петрович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",4.06,4668,2014,№116,Львівська область
Березюк Андрій Тарасович ," ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ АГРАРНЕ ОБ’ЄДНАННЯ ""ЗАСТУП""",3.35,3854,2014,№116,Львівська область
Радик Олег Юліанович , самовисування,2.11,2427,2014,№116,Львівська область
Несімко Олег Дем'янович , самовисування,1.54,1775,2014,№116,Львівська область
Дробот Ірина Григорівна , Комуністична партія України,1.4,1611,2014,№116,Львівська область
Цвик Андрій Олександрович ," Політична партія ""Опозиційний блок""",1.25,1438,2014,№116,Львівська область
Федчишин Андрій Євгенович , самовисування,0.91,1051,2014,№116,Львівська область
Клим Володимир Петрович , самовисування,0.87,999,2014,№116,Львівська область
Кутний Роман Антонович , самовисування,0.79,916,2014,№116,Львівська область
Разумовський Дмитро Олександрович , самовисування,0.78,900,2014,№116,Львівська область
Свелеба Ярослав Богданович , самовисування,0.53,610,2014,№116,Львівська область
Романович Ігор Федорович ," Політична партія ""Мерітократична партія України""",0.44,511,2014,№116,Львівська область
Юринець Оксана Василівна ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",42.55,44547,2014,№117,Львівська область
Брезіцький Роман Романович ," Політична партія ""НАРОДНИЙ ФРОНТ""",20.15,21101,2014,№117,Львівська область
Садовий Віталій Степанович , самовисування,9.95,10421,2014,№117,Львівська область
Васюта Михайло Михайлович , Радикальна Партія Олега Ляшка,6.63,6943,2014,№117,Львівська область
Семчишин Роман Андрійович , Українська республіканська партія,6.44,6752,2014,№117,Львівська область
Коць Ігор Вікторович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",4.22,4428,2014,№117,Львівська область
Стахів Остап Васильович , самовисування,2.09,2195,2014,№117,Львівська область
Мачеус Оксана Василівна , самовисування,1.71,1792,2014,№117,Львівська область
Борис Іван Антонович ," ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ АГРАРНЕ ОБ’ЄДНАННЯ ""ЗАСТУП""",1.7,1788,2014,№117,Львівська область
Шевчук Ольга Ігорівна , самовисування,1.61,1693,2014,№117,Львівська область
Супрун Ірина Анатоліївна , самовисування,1.53,1610,2014,№117,Львівська область
Пилипенко Олег Владиславович , самовисування,1.35,1420,2014,№117,Львівська область
Дубневич Богдан Васильович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",43.32,50820,2014,№118,Львівська область
Лубківський Данило Романович , самовисування,22.73,26672,2014,№118,Львівська область
Середа Степан Васильович , самовисування,9.6,11266,2014,№118,Львівська область
Мудрий Ярослав Ярославович , самовисування,7.4,8681,2014,№118,Львівська область
Ткачук Андрій Андрійович , Радикальна Партія Олега Ляшка,4.43,5200,2014,№118,Львівська область
Галич Іван Борисович , самовисування,3.97,4659,2014,№118,Львівська область
Васьків Ігор Михайлович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",3.49,4096,2014,№118,Львівська область
Лабецький Олександр Миронович , самовисування,1.59,1868,2014,№118,Львівська область
Бутенко Сергій Анатолійович , самовисування,1.56,1835,2014,№118,Львівська область
Мацях Олександр Васильович , самовисування,1.08,1272,2014,№118,Львівська область
Нєкрасов Ігор Євгенович , Комуністична партія України,0.8,939,2014,№118,Львівська область
Бондар Михайло Леонтійович ," Політична партія ""НАРОДНИЙ ФРОНТ""",26.36,28115,2014,№119,Львівська область
Матківський Олег Богданович , політична партія Конгрес Українських Націоналістів,15.06,16069,2014,№119,Львівська область
Андрущенко Андрій Олександрович , Радикальна Партія Олега Ляшка,13.92,14853,2014,№119,Львівська область
Сех Ірина Ігорівна ," політична партія Всеукраїнське об’єднання ""Свобода""",13.6,14514,2014,№119,Львівська область
Рак Степан Остапович , самовисування,13.18,14065,2014,№119,Львівська область
Чумак Михайло Михайлович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",9.51,10143,2014,№119,Львівська область
Грушецький Василь Григорович ," ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ АГРАРНЕ ОБ’ЄДНАННЯ ""ЗАСТУП""",8.33,8889,2014,№119,Львівська область
Дубневич Ярослав Васильович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",60.01,67797,2014,№120,Львівська область
Гарасим Ярослав Іванович ," Політична партія ""НАРОДНИЙ ФРОНТ""",17.36,19614,2014,№120,Львівська область
Ковалів Володимир Іванович , самовисування,7.08,8000,2014,№120,Львівська область
Щур Микола Васильович , Радикальна Партія Олега Ляшка,2.83,3203,2014,№120,Львівська область
Власенко Олександр Володимирович , самовисування,2.45,2778,2014,№120,Львівська область
Лабуда Роман Мар’янович , самовисування,2.41,2732,2014,№120,Львівська область
Ступницький Андрій Ігорович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",2.25,2552,2014,№120,Львівська область
Тимчишин Роман Володимирович , самовисування,2.09,2365,2014,№120,Львівська область
Павлик Сергій Ігорович ," ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ АГРАРНЕ ОБ’ЄДНАННЯ ""ЗАСТУП""",2.04,2306,2014,№120,Львівська область
Луценко Валерій Борисович , Комуністична партія України,1.42,1614,2014,№120,Львівська область
Матківський Богдан Миронович , самовисування,23.61,26904,2014,№121,Львівська область
Матковський Іван Йосипович ," Політична партія ""НАРОДНИЙ ФРОНТ""",16.36,18644,2014,№121,Львівська область
Ілик Роман Романович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",16.26,18532,2014,№121,Львівська область
Коваль Михайло Васильович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",11.61,13232,2014,№121,Львівська область
Барнацький Павло Степанович , самовисування,8.83,10066,2014,№121,Львівська область
Задорожний Михайло Леонович , самовисування,8.45,9629,2014,№121,Львівська область
Курус Ігор Федорович , Радикальна Партія Олега Ляшка,6.01,6852,2014,№121,Львівська область
Розора Сергій Петрович ," Політична партія ""Воля""",4.01,4574,2014,№121,Львівська область
Дем’янчик Григорій Петрович , самовисування,2.95,3371,2014,№121,Львівська область
Яцишин Тарас Ярославович ," ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ АГРАРНЕ ОБ’ЄДНАННЯ ""ЗАСТУП""",1.27,1449,2014,№121,Львівська область
Телех Сергій Володимирович , Комуністична партія України,0.43,501,2014,№121,Львівська область
Шмигаль Денис Анатолійович , самовисування,0.16,188,2014,№121,Львівська область
Парасюк Володимир Зіновійович , самовисування,56.56,69281,2014,№122,Львівська область
Возняк Тарас Степанович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",10.19,12484,2014,№122,Львівська область
Павлюк Олександр Олексійович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",10.17,12465,2014,№122,Львівська область
Бокало Іван Васильович , самовисування,8.3,10177,2014,№122,Львівська область
Пекар Володимир Васильович , самовисування,5.5,6745,2014,№122,Львівська область
Верещук Ірина Андріївна , самовисування,4.46,5469,2014,№122,Львівська область
Давид Ольга Володимирівна , Українська Народна Партія,2.17,2662,2014,№122,Львівська область
Шубіна Людмила Михайлівна , самовисування,1.17,1435,2014,№122,Львівська область
Каспер Богдан Миколайович , самовисування,0.6,747,2014,№122,Львівська область
Шешеня Артур Олександрович ," ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ АГРАРНЕ ОБ’ЄДНАННЯ ""ЗАСТУП""",0.44,551,2014,№122,Львівська область
Гаршин Віктор Миколайович , Комуністична партія України,0.38,471,2014,№122,Львівська область
Батенко Тарас Іванович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",50.89,53671,2014,№123,Львівська область
Марунчак Петро Мирославович , самовисування,29.41,31022,2014,№123,Львівська область
Котеляк Лідія Леонідівна ," Політична партія ""НАРОДНИЙ ФРОНТ""",11.55,12186,2014,№123,Львівська область
Данилів Назар Ігорович , самовисування,3.54,3741,2014,№123,Львівська область
Ільків Василь Ярославович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",2.72,2875,2014,№123,Львівська область
Бевз Григорій Анатолійович , самовисування,1.4,1480,2014,№123,Львівська область
Бродецький Анатолій Миколайович , Комуністична партія України,0.45,481,2014,№123,Львівська область
Мусій Олег Степанович , самовисування,29.86,30004,2014,№124,Львівська область
Костюк Ганна Іванівна , самовисування,14.01,14083,2014,№124,Львівська область
Блавацький Михайло Васильович , самовисування,8.62,8665,2014,№124,Львівська область
Курпіль Степан Володимирович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",8.57,8619,2014,№124,Львівська область
Новосад Ігор Фадейович ," Політична партія ""Громадянська позиція (Анатолій Гриценко)""",6.39,6425,2014,№124,Львівська область
Галамай Василь Ярославович , самовисування,5.78,5813,2014,№124,Львівська область
Корнат Андрій Володимирович , Радикальна Партія Олега Ляшка,5.67,5705,2014,№124,Львівська область
Федашко Петро Васильович , самовисування,5.3,5332,2014,№124,Львівська область
Кондратюк Вадим Іванович , політична партія Конгрес Українських Націоналістів,3.76,3781,2014,№124,Львівська область
Швед Роман Тимофійович , самовисування,2.47,2486,2014,№124,Львівська область
Руденко Сергій Євсейович , самовисування,2.44,2456,2014,№124,Львівська область
Коляда Василь Михайлович ," Політична партія ""Воля""",2.25,2270,2014,№124,Львівська область
Чижмар Юрій Іванович , самовисування,1.74,1752,2014,№124,Львівська область
Осміловський Денис Васильович , самовисування,1.28,1293,2014,№124,Львівська область
Герман Михайло Богданович ," Політична партія ""Опозиційний блок""",0.88,893,2014,№124,Львівська область
Рентюк Роман Ігорович ," ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ АГРАРНЕ ОБ’ЄДНАННЯ ""ЗАСТУП""",0.87,882,2014,№124,Львівська область
Лопушанський Андрій Ярославович , самовисування,32.12,36144,2014,№125,Львівська область
Зембіцький Тарас Осипович ," Політична партія ""НАРОДНИЙ ФРОНТ""",19.71,22178,2014,№125,Львівська область
Тягнибок Андрій Ярославович ," політична партія Всеукраїнське об’єднання ""Свобода""",16.94,19061,2014,№125,Львівська область
Рибчич Ілля Йосипович , самовисування,13.38,15056,2014,№125,Львівська область
Кирилич Василь Петрович , самовисування,10.3,11589,2014,№125,Львівська область
Касюхнич Юрій Ігорович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",2.95,3321,2014,№125,Львівська область
Ямборко Володимир Іванович , самовисування,2.06,2322,2014,№125,Львівська область
Микитін Василь Васильович ," ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ АГРАРНЕ ОБ’ЄДНАННЯ ""ЗАСТУП""",1.3,1464,2014,№125,Львівська область
Авдейчик Юрій Іванович , самовисування,0.85,957,2014,№125,Львівська область
Богвелішвілі Роман Тамазієвич , Комуністична партія України,0.35,401,2014,№125,Львівська область
Кіт Андрій Богданович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",30.64,32960,2014,№126,Львівська область
Гергерт Андрій Валерійович , самовисування,22.13,23804,2014,№126,Львівська область
Кміть Микола Іванович ," Політична партія ""Об’єднання ""САМОПОМІЧ""",20.81,22388,2014,№126,Львівська область
Ярощук Олександр Анатолійович ," Політична партія ""НАРОДНИЙ ФРОНТ""",13.25,14257,2014,№126,Львівська область
Козак Роман Васильович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",6.81,7328,2014,№126,Львівська область
Римарська Руслана Юріївна , самовисування,3.19,3437,2014,№126,Львівська область
Новоженець Ростислав Павлович , Радикальна Партія Олега Ляшка,1.06,1142,2014,№126,Львівська область
Роман Василь Русланович ," ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ АГРАРНЕ ОБ’ЄДНАННЯ ""ЗАСТУП""",0.89,966,2014,№126,Львівська область
Миськів Юрій Петрович , самовисування,0.63,685,2014,№126,Львівська область
Сидоренко Олександр Нестерович , Комуністична партія України,0.53,577,2014,№126,Львівська область
Козир Борис Юрійович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",33.17,18821,2014,№127,Миколаївська область
Кінах Анатолій Кирилович , самовисування,12.77,7247,2014,№127,Миколаївська область
Паламарюк Петро Миколайович , самовисування,10.17,5771,2014,№127,Миколаївська область
Задирко Геннадій Олександрович , самовисування,7.77,4412,2014,№127,Миколаївська область
Мурлян Гелена Володимирівна ," Політична партія ""НАРОДНИЙ ФРОНТ""",7.47,4241,2014,№127,Миколаївська область
Зозуля Ігор Вікторович , самовисування,5.36,3046,2014,№127,Миколаївська область
Козирєв Андрій Валерійович , самовисування,3.8,2156,2014,№127,Миколаївська область
Гаврилюк Василь Васильович , Радикальна Партія Олега Ляшка,3.55,2019,2014,№127,Миколаївська область
Орел Василь Миколайович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",3.05,1735,2014,№127,Миколаївська область
Дмитрук Віктор Миронович ," ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ""",2.88,1637,2014,№127,Миколаївська область
Захаренко Ярослав Анатолійович ," Політична партія ""Демократичний альянс""",2.51,1429,2014,№127,Миколаївська область
Баланчук Олексій Петрович , самовисування,2.24,1271,2014,№127,Миколаївська область
Кінаш Альона Анатоліївна , самовисування,1.75,993,2014,№127,Миколаївська область
Пономаренко Павло Вікторович , Ліберальна партія України,1.31,748,2014,№127,Миколаївська область
Малиновський Віктор Петрович ," Політична партія ""Ми Українці""",1.16,663,2014,№127,Миколаївська область
Красуля Євгеній Сергійович , самовисування,0.95,540,2014,№127,Миколаївська область
Ільюк Артем Олександрович , самовисування,33.41,21491,2014,№128,Миколаївська область
Опришко Володимир Олексійович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",23.26,14959,2014,№128,Миколаївська область
Герасимчук Олена Андріївна ," Політична партія ""НАРОДНИЙ ФРОНТ""",13.77,8859,2014,№128,Миколаївська область
Майборода Сергій Федотович ," Політична партія ""Опозиційний блок""",11.27,7248,2014,№128,Миколаївська область
Янцен Олександр Юрійович , Радикальна Партія Олега Ляшка,5.33,3432,2014,№128,Миколаївська область
Сюрченко Віктор Миколайович , самовисування,5.28,3398,2014,№128,Миколаївська область
Кабашна Олена Миколаївна ," політична партія Всеукраїнське об’єднання ""Батьківщина""",3.75,2416,2014,№128,Миколаївська область
Головченко Гліб Олександрович , Ліберальна партія України,2.85,1839,2014,№128,Миколаївська область
Нікора Веніамін Сергійович , самовисування,1.03,667,2014,№128,Миколаївська область
Жолобецький Олександр Олександрович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",39.63,22536,2014,№129,Миколаївська область
Жук Микола Васильович , самовисування,21.62,12294,2014,№129,Миколаївська область
Ісаков Сергій Михайлович , самовисування,8.64,4916,2014,№129,Миколаївська область
Ясинський Олександр Миколайович ," Політична партія ""Опозиційний блок""",7.14,4060,2014,№129,Миколаївська область
Іванова Надія Валеріївна , самовисування,5.58,3177,2014,№129,Миколаївська область
Жук Володимир Васильович , самовисування,4.56,2595,2014,№129,Миколаївська область
Казакова Тетяна Вікторівна , самовисування,2.61,1487,2014,№129,Миколаївська область
Курілкін Володимир Михайлович , Радикальна Партія Олега Ляшка,2.1,1197,2014,№129,Миколаївська область
Зубенко Роман Вікторович , самовисування,1.94,1107,2014,№129,Миколаївська область
Ващиленко Артем Миколайович , самовисування,1.72,979,2014,№129,Миколаївська область
Ісаков Олександр Миколайович , самовисування,1.49,852,2014,№129,Миколаївська область
Романішин Олександр Вікторович , самовисування,1.21,692,2014,№129,Миколаївська область
Корсак Оксана Григорівна ," ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ""",1.04,597,2014,№129,Миколаївська область
Ніжніковська Катерина Євгенівна , самовисування,0.65,373,2014,№129,Миколаївська область
Вадатурський Андрій Олексійович ," ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",43.75,26539,2014,№130,Миколаївська область
Ольшевський Фелікс Вікторович , самовисування,26.53,16094,2014,№130,Миколаївська область
Альшевський Володимир Миколайович , самовисування,6.97,4232,2014,№130,Миколаївська область
